TIPOENTIDAD;CODIGOENTIDAD;NOMBREENTIDAD;FECHA CORTE;COD_UCA;NOMBRE_UCA;SUBCUENTA;DESCRIPCION;PERSONA_NATURAL;PERSONA_JURIDICA;TOTAL_TARJETAS
118;4;A TODA HORA S.A.;31/01/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;40;Monto de transacciones por avances a nivel nacional con tarjeta de crédito;0,000;0,000;87,222,920,000
118;4;A TODA HORA S.A.;31/01/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;60;Monto de transacciones por avances a nivel nacional con tarjeta de crédito de entidades extranjeras;0,000;0,000;6,417,080,000
118;4;A TODA HORA S.A.;31/01/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;90;Monto de transacciones por retiros con tarjetas débito;0,000;0,000;2,763,253,539,737
118;4;A TODA HORA S.A.;31/01/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;100;Monto de transacciones por retiros con tarjetas débito de entidades extranjeras;0,000;0,000;26,763,440,000
118;4;A TODA HORA S.A.;28/02/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;40;Monto de transacciones por avances a nivel nacional con tarjeta de crédito;0,000;0,000;79,424,600,000
118;4;A TODA HORA S.A.;28/02/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;60;Monto de transacciones por avances a nivel nacional con tarjeta de crédito de entidades extranjeras;0,000;0,000;5,386,830,000
118;4;A TODA HORA S.A.;28/02/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;90;Monto de transacciones por retiros con tarjetas débito;0,000;0,000;2,657,339,071,019
118;4;A TODA HORA S.A.;28/02/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;100;Monto de transacciones por retiros con tarjetas débito de entidades extranjeras;0,000;0,000;21,366,590,000
118;4;A TODA HORA S.A.;31/03/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;40;Monto de transacciones por avances a nivel nacional con tarjeta de crédito;0,000;0,000;89,930,260,000
118;4;A TODA HORA S.A.;31/03/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;60;Monto de transacciones por avances a nivel nacional con tarjeta de crédito de entidades extranjeras;0,000;0,000;5,590,360,000
118;4;A TODA HORA S.A.;31/03/2015;7;ADMINISTRADORAS DE SISTEMAS DE PAGO DE BAJO VALOR;90;Monto de transacciones por retiros con tarjetas débito;0,000;0,000;2,905,385,897,086
